day,date,rank,temp
0,2005-01-01,0,63
0,1979-01-01,1,60
0,2007-01-01,2,57
0,1945-01-01,3,56
0,2012-01-01,4,55
0,2004-01-01,5,51
0,2016-01-01,5,51
0,2008-01-01,7,50
0,2019-01-01,7,50
0,2021-01-01,9,49
0,1975-01-01,10,48
0,2003-01-01,10,48
0,2020-01-01,12,47
0,1996-01-01,13,45
0,2000-01-01,13,45
0,2006-01-01,13,45
0,2017-01-01,13,45
0,2011-01-01,17,44
0,1950-01-01,18,43
0,1943-01-01,19,42
0,1946-01-01,19,42
0,1976-01-01,19,42
0,1995-01-01,19,42
0,2013-01-01,19,42
0,1951-01-01,24,40
0,1949-01-01,25,39
0,1948-01-01,26,38
0,1974-01-01,26,38
0,2014-01-01,26,38
0,1978-01-01,29,36
0,2001-01-01,29,36
0,2010-01-01,29,36
0,1998-01-01,32,35
0,2002-01-01,32,35
0,2015-01-01,34,34
0,1997-01-01,35,31
0,1999-01-01,36,29
0,1977-01-01,37,28
0,2009-01-01,37,28
0,2018-01-01,39,20
1,2000-01-02,0,65
1,1979-01-02,1,62
1,2019-01-02,2,61
1,1998-01-02,3,55
1,2011-01-02,3,55
1,1995-01-02,5,54
1,2017-01-02,6,53
1,2004-01-02,7,50
1,2007-01-02,8,49
1,2012-01-02,8,49
1,2005-01-02,10,48
1,2020-01-02,11,47
1,2006-01-02,12,46
1,1950-01-02,13,45
1,1975-01-02,14,42
1,2010-01-02,14,42
1,2016-01-02,14,42
1,1951-01-02,17,41
1,2003-01-02,17,41
1,2014-01-02,17,41
1,2015-01-02,17,41
1,2021-01-02,17,41
1,1944-01-02,22,40
1,1996-01-02,22,40
1,2013-01-02,22,40
1,1943-01-02,25,38
1,1974-01-02,25,38
1,1976-01-02,25,38
1,2002-01-02,25,38
1,2008-01-02,29,37
1,1948-01-02,30,36
1,1977-01-02,30,36
1,1978-01-02,30,36
1,2009-01-02,33,35
1,1946-01-02,34,31
1,2001-01-02,35,28
1,2018-01-02,35,28
1,1999-01-02,37,26
2,2000-01-03,0,64
2,1997-01-03,1,60
2,1950-01-03,2,58
2,2004-01-03,3,57
2,1998-01-03,4,56
2,1945-01-03,5,55
2,1999-01-03,5,55
2,2005-01-03,7,54
2,2021-01-03,7,54
2,1951-01-03,9,53
2,2007-01-03,10,52
2,2011-01-03,11,50
2,2020-01-03,12,48
2,2006-01-03,13,46
2,2019-01-03,14,45
2,2016-01-03,15,44
2,1949-01-03,16,43
2,2015-01-03,16,43
2,2017-01-03,16,43
2,1976-01-03,19,42
2,2003-01-03,20,41
2,1944-01-03,21,40
2,1943-01-03,22,39
2,1975-01-03,22,39
2,1995-01-03,22,39
2,2002-01-03,22,39
2,1948-01-03,26,37
2,2014-01-03,26,37
2,2009-01-03,28,36
2,1977-01-03,29,35
2,1979-01-03,29,35
2,2013-01-03,29,35
2,1974-01-03,32,34
2,2012-01-03,32,34
2,1946-01-03,34,33
2,1996-01-03,34,33
2,2001-01-03,34,33
2,1978-01-03,37,29
2,2010-01-03,37,29
2,2008-01-03,39,25
2,2018-01-03,39,25
3,2000-01-04,0,68
3,1998-01-04,1,65
3,1951-01-04,2,64
3,1950-01-04,3,62
3,2004-01-04,4,58
3,2007-01-04,4,58
3,1945-01-04,6,56
3,1997-01-04,7,53
3,2005-01-04,7,53
3,2020-01-04,9,51
3,2016-01-04,10,49
3,1975-01-04,11,47
3,2017-01-04,11,47
3,2006-01-04,13,46
3,2019-01-04,13,46
3,1949-01-04,15,45
3,2015-01-04,15,45
3,1943-01-04,17,42
3,1977-01-04,17,42
3,2009-01-04,17,42
3,1944-01-04,20,40
3,2002-01-04,20,40
3,2003-01-04,20,40
3,1974-01-04,23,39
3,2008-01-04,23,39
3,2021-01-04,23,39
3,1946-01-04,26,37
3,2011-01-04,26,37
3,1976-01-04,28,36
3,2001-01-04,28,36
3,2013-01-04,30,35
3,2012-01-04,31,34
3,1978-01-04,32,32
3,2018-01-04,32,32
3,1995-01-04,34,31
3,1979-01-04,35,30
3,1999-01-04,36,28
3,2010-01-04,37,27
3,1996-01-04,38,25
3,2014-01-04,39,19
4,1950-01-05,0,68
4,1951-01-05,1,63
4,1997-01-05,2,62
4,2007-01-05,2,62
4,1949-01-05,4,59
4,2015-01-05,5,57
4,1998-01-05,6,56
4,2017-01-05,7,54
4,2020-01-05,7,54
4,2006-01-05,9,51
4,2000-01-05,10,49
4,2019-01-05,11,47
4,2005-01-05,12,46
4,2009-01-05,12,46
4,1946-01-05,14,44
4,2002-01-05,14,44
4,1975-01-05,16,43
4,2004-01-05,16,43
4,2021-01-05,16,43
4,1944-01-05,19,41
4,2011-01-05,19,41
4,1978-01-05,21,40
4,2003-01-05,21,40
4,2008-01-05,21,40
4,1948-01-05,24,39
4,2013-01-05,24,39
4,1974-01-05,26,36
4,1977-01-05,26,36
4,1979-01-05,28,34
4,2012-01-05,28,34
4,2016-01-05,28,34
4,1995-01-05,31,33
4,1976-01-05,32,32
4,2001-01-05,32,32
4,2010-01-05,32,32
4,2014-01-05,35,31
4,1996-01-05,36,30
4,1999-01-05,37,27
4,2018-01-05,38,26
5,2007-01-06,0,70
5,1998-01-06,1,62
5,2014-01-06,2,61
5,1946-01-06,3,56
5,2012-01-06,3,56
5,1997-01-06,5,51
5,1978-01-06,6,50
5,2008-01-06,6,50
5,1949-01-06,8,48
5,2019-01-06,8,48
5,1951-01-06,10,46
5,1975-01-06,10,46
5,2000-01-06,10,46
5,2020-01-06,13,43
5,2006-01-06,14,42
5,2013-01-06,14,42
5,2021-01-06,14,42
5,1944-01-06,17,41
5,2002-01-06,17,41
5,2004-01-06,17,41
5,2005-01-06,17,41
5,2009-01-06,21,40
5,2001-01-06,22,39
5,2011-01-06,22,39
5,2015-01-06,24,38
5,2003-01-06,25,37
5,1974-01-06,26,36
5,1977-01-06,26,36
5,2017-01-06,26,36
5,1976-01-06,29,35
5,1979-01-06,29,35
5,1948-01-06,31,34
5,1999-01-06,32,33
5,2010-01-06,33,32
5,2016-01-06,33,32
5,1943-01-06,35,31
5,1995-01-06,36,25
5,1945-01-06,37,24
5,1996-01-06,38,20
5,2018-01-06,39,17
6,1950-01-07,0,69
6,1946-01-07,1,65
6,2008-01-07,2,64
6,2012-01-07,3,62
6,2007-01-07,4,57
6,1979-01-07,5,55
6,1949-01-07,6,53
6,1951-01-07,6,53
6,2019-01-07,8,52
6,2020-01-07,8,52
6,2000-01-07,10,50
6,2013-01-07,11,48
6,2014-01-07,11,48
6,1975-01-07,13,47
6,2001-01-07,14,44
6,2021-01-07,15,43
6,1974-01-07,16,42
6,2005-01-07,16,42
6,1976-01-07,18,41
6,1978-01-07,18,41
6,2009-01-07,18,41
6,2016-01-07,18,41
6,1995-01-07,22,38
6,2006-01-07,22,38
6,2010-01-07,24,37
6,1977-01-07,25,36
6,2002-01-07,25,36
6,2011-01-07,25,36
6,1948-01-07,28,35
6,1997-01-07,28,35
6,1999-01-07,28,35
6,1943-01-07,31,34
6,2003-01-07,32,33
6,2017-01-07,32,33
6,2004-01-07,34,28
6,2015-01-07,35,24
6,1996-01-07,36,22
7,1998-01-08,0,70
7,2008-01-08,1,64
7,1978-01-08,2,61
7,1949-01-08,3,60
7,1979-01-08,4,57
7,2007-01-08,5,55
7,1946-01-08,6,53
7,2012-01-08,7,49
7,1975-01-08,8,48
7,2013-01-08,8,48
7,2006-01-08,10,47
7,1995-01-08,11,46
7,2020-01-08,11,46
7,2003-01-08,13,45
7,2016-01-08,13,45
7,2021-01-08,13,45
7,2005-01-08,16,44
7,1950-01-08,17,43
7,2000-01-08,18,41
7,2001-01-08,18,41
7,1948-01-08,20,40
7,1976-01-08,20,40
7,2010-01-08,22,39
7,1951-01-08,23,38
7,1997-01-08,23,38
7,2009-01-08,23,38
7,2002-01-08,26,37
7,2019-01-08,26,37
7,1974-01-08,28,36
7,2011-01-08,29,34
7,1943-01-08,30,33
7,1945-01-08,30,33
7,2004-01-08,30,33
7,1944-01-08,33,32
7,1999-01-08,33,32
7,1977-01-08,35,28
7,1996-01-08,36,27
7,2017-01-08,37,26
7,2015-01-08,38,24
7,2018-01-08,38,24
7,2014-01-08,40,12
8,1998-01-09,0,66
8,2008-01-09,1,65
8,1978-01-09,2,62
8,2006-01-09,3,57
8,2003-01-09,4,54
8,1948-01-09,5,53
8,1975-01-09,6,52
8,1946-01-09,7,51
8,2000-01-09,8,48
8,2013-01-09,8,48
8,2019-01-09,10,46
8,1999-01-09,11,44
8,2007-01-09,11,44
8,2016-01-09,11,44
8,2012-01-09,14,42
8,2002-01-09,15,41
8,2020-01-09,16,40
8,2005-01-09,17,39
8,2018-01-09,17,39
8,1951-01-09,19,38
8,1974-01-09,20,36
8,1995-01-09,20,36
8,2021-01-09,20,36
8,2001-01-09,23,35
8,1943-01-09,24,34
8,1945-01-09,25,33
8,1997-01-09,25,33
8,2010-01-09,25,33
8,1996-01-09,28,32
8,2004-01-09,28,32
8,2009-01-09,28,32
8,1977-01-09,31,30
8,2011-01-09,31,30
8,1944-01-09,33,29
8,1979-01-09,34,27
8,2014-01-09,34,27
8,2015-01-09,36,26
8,2017-01-09,37,25
8,1976-01-09,38,24
9,2000-01-10,0,58
9,2002-01-10,1,57
9,2016-01-10,2,55
9,1949-01-10,3,54
9,1998-01-10,4,53
9,2006-01-10,4,53
9,1946-01-10,6,51
9,1950-01-10,6,51
9,2013-01-10,8,50
9,1975-01-10,9,49
9,2003-01-10,9,49
9,2005-01-10,9,49
9,2012-01-10,9,49
9,2019-01-10,13,47
9,2018-01-10,14,46
9,1977-01-10,15,43
9,2021-01-10,15,43
9,1995-01-10,17,42
9,1997-01-10,18,40
9,2020-01-10,19,39
9,2001-01-10,20,36
9,2007-01-10,20,36
9,1974-01-10,22,35
9,2015-01-10,22,35
9,1944-01-10,24,34
9,2014-01-10,24,34
9,1943-01-10,26,33
9,1951-01-10,26,33
9,1996-01-10,26,33
9,2009-01-10,29,32
9,2011-01-10,29,32
9,1979-01-10,31,31
9,2010-01-10,31,31
9,1999-01-10,33,30
9,1976-01-10,34,28
9,2017-01-10,35,25
9,1978-01-10,36,21
9,2004-01-10,37,20
10,2016-01-11,0,65
10,1975-01-11,1,64
10,1950-01-11,2,63
10,2014-01-11,3,59
10,2020-01-11,4,57
10,2008-01-11,5,55
10,2000-01-11,6,53
10,2012-01-11,6,53
10,2006-01-11,8,52
10,1998-01-11,9,51
10,2001-01-11,10,50
