day,date,rank,temp
0,1981-01-01,0,77
0,2012-01-01,1,75
0,1982-01-01,2,70
0,1998-01-01,2,70
0,1999-01-01,2,70
0,2018-01-01,5,69
0,2002-01-01,6,68
0,1990-01-01,7,67
0,1996-01-01,7,67
0,1984-01-01,9,66
0,1994-01-01,9,66
0,1997-01-01,9,66
0,2014-01-01,12,65
0,1986-01-01,13,64
0,1987-01-01,13,64
0,2021-01-01,13,64
0,1978-01-01,16,63
0,2000-01-01,16,63
0,2009-01-01,16,63
0,2020-01-01,16,63
0,2022-01-01,16,63
0,1974-01-01,21,62
0,1985-01-01,21,62
0,1989-01-01,21,62
0,1995-01-01,21,62
0,1992-01-01,25,61
0,2007-01-01,25,61
0,2010-01-01,25,61
0,1980-01-01,28,59
0,2017-01-01,29,58
0,1988-01-01,30,57
0,2013-01-01,30,57
0,1991-01-01,32,56
0,2019-01-01,32,56
0,1979-01-01,34,55
0,2016-01-01,34,55
0,1983-01-01,36,51
0,2011-01-01,37,47
0,2015-01-01,37,47
1,1981-01-02,0,80
1,1997-01-02,1,76
1,2012-01-02,2,74
1,1998-01-02,3,73
1,1994-01-02,4,72
1,2014-01-02,4,72
1,1999-01-02,6,71
1,2018-01-02,7,69
1,1986-01-02,8,68
1,2002-01-02,8,68
1,1982-01-02,10,67
1,2003-01-02,10,67
1,2021-01-02,12,66
1,1978-01-02,13,65
1,1996-01-02,13,65
1,1980-01-02,15,64
1,1984-01-02,15,64
1,1990-01-02,15,64
1,1993-01-02,15,64
1,2000-01-02,15,64
1,2009-01-02,20,63
1,2010-01-02,20,63
1,1989-01-02,22,62
1,1995-01-02,22,62
1,2007-01-02,22,62
1,2017-01-02,22,62
1,1987-01-02,26,60
1,1992-01-02,26,60
1,2008-01-02,26,60
1,2020-01-02,26,60
1,1983-01-02,30,59
1,1985-01-02,30,59
1,1974-01-02,32,57
1,1988-01-02,32,57
1,1991-01-02,32,57
1,2022-01-02,32,57
1,2013-01-02,36,56
1,2016-01-02,36,56
1,2015-01-02,38,52
1,2019-01-02,38,52
1,2011-01-02,40,48
1,1979-01-02,41,47
2,1981-01-03,0,77
2,1997-01-03,1,75
2,2006-01-03,1,75
2,2012-01-03,3,74
2,2018-01-03,3,74
2,2014-01-03,5,71
2,1986-01-03,6,70
2,1998-01-03,6,70
2,1996-01-03,8,69
2,2003-01-03,8,69
2,1987-01-03,10,68
2,2010-01-03,10,68
2,1984-01-03,12,67
2,1999-01-03,12,67
2,2002-01-03,12,67
2,2004-01-03,12,67
2,2007-01-03,12,67
2,1980-01-03,17,66
2,2020-01-03,17,66
2,2005-01-03,19,65
2,1993-01-03,20,64
2,2008-01-03,20,64
2,2021-01-03,20,64
2,1989-01-03,23,63
2,1978-01-03,24,62
2,2000-01-03,24,62
2,2009-01-03,24,62
2,1982-01-03,27,61
2,1983-01-03,27,61
2,1995-01-03,29,60
2,2013-01-03,29,60
2,2016-01-03,29,60
2,1985-01-03,32,58
2,2015-01-03,32,58
2,2017-01-03,32,58
2,2019-01-03,32,58
2,1991-01-03,36,57
2,2022-01-03,36,57
2,1990-01-03,38,55
2,1988-01-03,39,51
2,1979-01-03,40,48
2,2011-01-03,41,47
2,1974-01-03,42,45
3,2012-01-04,0,74
3,1981-01-04,1,72
3,2003-01-04,1,72
3,1984-01-04,3,71
3,1986-01-04,3,71
3,1996-01-04,5,70
3,2018-01-04,5,70
3,2006-01-04,7,69
3,1987-01-04,8,68
3,2007-01-04,8,68
3,2020-01-04,8,68
3,1999-01-04,11,67
3,2010-01-04,11,67
3,2014-01-04,11,67
3,1980-01-04,14,65
3,1997-01-04,14,65
3,1998-01-04,14,65
3,2021-01-04,17,64
3,2016-01-04,18,62
3,2000-01-04,19,61
3,2004-01-04,19,61
3,2013-01-04,19,61
3,1983-01-04,22,60
3,2019-01-04,22,60
3,2022-01-04,22,60
3,1978-01-04,25,59
3,1985-01-04,25,59
3,1988-01-04,27,58
3,2005-01-04,27,58
3,1982-01-04,29,57
3,2015-01-04,29,57
3,2017-01-04,29,57
3,2008-01-04,32,56
3,1989-01-04,33,55
3,2011-01-04,33,55
3,1992-01-04,35,53
3,2009-01-04,35,53
3,1979-01-04,37,52
3,1990-01-04,37,52
3,1991-01-04,37,52
3,1995-01-04,37,52
3,1974-01-04,41,51
3,1993-01-04,41,51
4,1994-01-05,0,76
4,2018-01-05,1,75
4,2003-01-05,2,74
