day,date,rank,temp
0,2011-01-01,0,57
0,2019-01-01,1,52
0,1945-01-01,2,51
0,2005-01-01,2,51
0,2012-01-01,4,49
0,1886-01-01,5,47
0,1952-01-01,5,47
0,2000-01-01,5,47
0,1937-01-01,8,45
0,1934-01-01,9,43
0,2004-01-01,9,43
0,2017-01-01,11,42
0,1892-01-01,12,41
0,2022-01-01,12,41
0,1942-01-01,14,40
0,1949-01-01,14,40
0,1955-01-01,14,40
0,2003-01-01,14,40
0,2016-01-01,14,40
0,1889-01-01,19,39
0,1930-01-01,19,39
0,2020-01-01,21,38
0,1953-01-01,22,37
0,2007-01-01,22,37
0,2021-01-01,22,37
0,1943-01-01,25,36
0,1935-01-01,26,35
0,2013-01-01,26,35
0,1887-01-01,28,34
0,1888-01-01,28,34
0,1941-01-01,28,34
0,1931-01-01,31,33
0,2008-01-01,31,33
0,2010-01-01,31,33
0,1936-01-01,34,32
0,1939-01-01,34,32
0,1948-01-01,34,32
0,1971-01-01,34,32
0,2001-01-01,34,32
0,2002-01-01,34,32
0,2015-01-01,34,32
0,1967-01-01,41,31
0,1944-01-01,42,30
0,1932-01-01,43,29
0,1970-01-01,43,29
0,1969-01-01,45,28
0,1891-01-01,46,26
0,1940-01-01,46,26
0,1954-01-01,46,26
0,2006-01-01,46,26
0,1968-01-01,50,24
0,1999-01-01,50,24
0,2014-01-01,50,24
0,1972-01-01,53,22
0,1938-01-01,54,21
0,1947-01-01,55,19
0,2009-01-01,56,16
0,2018-01-01,57,10
1,1890-01-02,0,60
1,2000-01-02,1,53
1,1893-01-02,2,52
1,1942-01-02,2,52
1,1892-01-02,4,51
1,1930-01-02,5,49
1,1886-01-02,6,48
1,2011-01-02,7,46
1,1952-01-02,8,45
1,2012-01-02,8,45
1,1939-01-02,10,43
1,2007-01-02,10,43
1,2020-01-02,10,43
1,2022-01-02,10,43
1,1938-01-02,14,42
1,2021-01-02,15,41
1,1933-01-02,16,40
1,2006-01-02,16,40
1,1941-01-02,18,39
1,1955-01-02,18,39
1,1967-01-02,18,39
1,1889-01-02,21,38
1,2015-01-02,21,38
1,2016-01-02,21,38
1,1953-01-02,24,37
1,1888-01-02,25,36
1,1891-01-02,25,36
1,2002-01-02,25,36
1,2017-01-02,25,36
1,1943-01-02,29,35
1,1945-01-02,29,35
1,1949-01-02,29,35
1,2005-01-02,32,34
1,2019-01-02,32,34
1,1936-01-02,34,33
1,1932-01-02,35,32
1,1937-01-02,35,32
1,1944-01-02,35,32
1,1947-01-02,35,32
1,2003-01-02,39,31
1,2004-01-02,39,31
1,1931-01-02,41,30
1,1948-01-02,41,30
1,1954-01-02,41,30
1,2010-01-02,41,30
1,1969-01-02,45,29
1,2008-01-02,45,29
1,2009-01-02,45,29
1,1971-01-02,48,27
1,2001-01-02,48,27
1,1972-01-02,50,26
1,1935-01-02,51,25
1,1968-01-02,51,25
1,1970-01-02,51,25
1,2013-01-02,51,25
1,1934-01-02,55,23
1,1940-01-02,55,23
1,1946-01-02,57,20
1,2014-01-02,58,19
1,2018-01-02,59,17
1,1999-01-02,60,15
2,2000-01-03,0,62
2,1890-01-03,1,54
2,2005-01-03,2,52
2,2007-01-03,2,52
2,2020-01-03,4,45
2,1892-01-03,5,44
2,1886-01-03,6,43
2,2016-01-03,7,42
2,1930-01-03,8,41
2,1933-01-03,8,41
2,1936-01-03,10,40
2,2019-01-03,10,40
2,1955-01-03,12,39
2,2017-01-03,12,39
2,1889-01-03,14,38
2,1891-01-03,14,38
2,1931-01-03,14,38
2,1937-01-03,14,38
2,1941-01-03,14,38
2,1953-01-03,14,38
2,1971-01-03,14,38
2,1972-01-03,14,38
2,2002-01-03,14,38
2,1893-01-03,23,37
2,1948-01-03,23,37
2,1954-01-03,23,37
2,1949-01-03,26,36
2,1999-01-03,26,36
2,1932-01-03,28,35
2,1935-01-03,28,35
2,1942-01-03,28,35
2,2011-01-03,28,35
2,1944-01-03,32,34
2,1947-01-03,32,34
2,2004-01-03,32,34
2,2006-01-03,32,34
2,1938-01-03,36,33
2,1952-01-03,36,33
2,2021-01-03,36,33
2,1888-01-03,39,32
2,1946-01-03,39,32
2,2001-01-03,39,32
2,2012-01-03,42,31
2,1940-01-03,43,30
2,1967-01-03,43,30
2,2009-01-03,43,30
2,2015-01-03,43,30
2,1945-01-03,47,29
2,2010-01-03,47,29
2,2022-01-03,47,29
2,1943-01-03,50,28
2,1969-01-03,51,27
2,2018-01-03,51,27
2,1970-01-03,53,26
2,2003-01-03,53,26
2,1934-01-03,55,24
2,1939-01-03,56,22
2,2013-01-03,57,21
2,1968-01-03,58,17
2,2008-01-03,59,11
2,2014-01-03,60,10
3,2007-01-04,0,54
3,1890-01-04,1,52
3,1933-01-04,1,52
3,2000-01-04,3,50
3,1886-01-04,4,48
3,2004-01-04,4,48
3,1889-01-04,6,45
3,2019-01-04,6,45
3,1946-01-04,8,43
3,1972-01-04,8,43
3,2005-01-04,8,43
3,2015-01-04,8,43
3,1936-01-04,12,42
3,1949-01-04,13,41
3,2020-01-04,14,40
3,2021-01-04,14,40
3,1931-01-04,16,39
3,1971-01-04,16,39
3,1945-01-04,18,38
3,2013-01-04,18,38
3,1892-01-04,20,37
3,1948-01-04,20,37
3,1954-01-04,20,37
3,1955-01-04,20,37
3,2011-01-04,20,37
3,1938-01-04,25,36
3,1941-01-04,25,36
3,1967-01-04,25,36
3,1944-01-04,28,35
3,1953-01-04,28,35
3,1999-01-04,28,35
3,1937-01-04,31,34
3,2022-01-04,31,34
3,1952-01-04,33,33
3,2009-01-04,33,33
3,1939-01-04,35,32
3,2001-01-04,35,32
3,2002-01-04,35,32
3,2006-01-04,35,32
3,2010-01-04,35,32
3,2016-01-04,40,31
3,1942-01-04,41,30
3,1969-01-04,41,30
3,2003-01-04,41,30
3,1888-01-04,44,29
3,1932-01-04,44,29
3,1935-01-04,44,29
3,1947-01-04,47,27
3,2008-01-04,47,27
