day,date,rank,temp
0,1966-01-01,0,63
0,1985-01-01,1,61
0,2019-01-01,2,60
0,1979-01-01,3,59
0,1993-01-01,4,57
0,2022-01-01,4,57
0,2000-01-01,6,56
0,2011-01-01,6,56
0,2007-01-01,8,55
0,2012-01-01,9,54
0,2005-01-01,10,53
0,1990-01-01,11,51
0,2021-01-01,11,51
0,2004-01-01,13,49
0,2017-01-01,14,46
0,1995-01-01,15,45
0,1986-01-01,16,44
0,1997-01-01,16,44
0,2008-01-01,16,44
0,2006-01-01,19,43
0,1982-01-01,20,42
0,1988-01-01,20,42
0,2003-01-01,22,41
0,1961-01-01,23,40
0,1976-01-01,23,40
0,1978-01-01,23,40
0,1996-01-01,23,40
0,2020-01-01,23,40
0,1965-01-01,28,39
0,1969-01-01,28,39
0,1967-01-01,30,38
0,1975-01-01,30,38
0,1987-01-01,32,37
0,2014-01-01,33,36
0,2015-01-01,33,36
0,1981-01-01,35,35
0,1989-01-01,35,35
0,2010-01-01,35,35
0,2016-01-01,35,35
0,1972-01-01,39,33
0,1974-01-01,39,33
0,2013-01-01,39,33
0,1962-01-01,42,32
0,1992-01-01,42,32
0,1970-01-01,44,31
0,1991-01-01,44,31
0,1968-01-01,46,30
0,1980-01-01,46,30
0,1983-01-01,46,30
0,2009-01-01,46,30
0,1971-01-01,50,29
0,1994-01-01,51,28
0,1984-01-01,52,27
0,2001-01-01,52,27
0,1964-01-01,54,25
0,2002-01-01,54,25
0,1998-01-01,56,24
0,1999-01-01,57,20
0,1963-01-01,58,16
0,1977-01-01,59,15
0,2018-01-01,60,11
1,1985-01-02,0,67
1,2000-01-02,1,65
1,2005-01-02,2,60
1,2004-01-02,3,57
1,1979-01-02,4,56
1,2006-01-02,5,52
1,1965-01-02,6,51
1,2021-01-02,6,51
1,2017-01-02,8,50
1,1997-01-02,9,49
1,2020-01-02,9,49
1,1966-01-02,11,45
1,1972-01-02,11,45
1,1995-01-02,11,45
1,2007-01-02,14,44
1,1983-01-02,15,42
1,2019-01-02,15,42
1,2022-01-02,15,42
1,1967-01-02,18,41
1,2009-01-02,18,41
1,1989-01-02,20,40
1,1991-01-02,21,39
1,1992-01-02,21,39
1,1994-01-02,21,39
1,1996-01-02,21,39
1,1975-01-02,25,38
1,2015-01-02,25,38
1,1982-01-02,27,37
1,1998-01-02,27,37
1,1978-01-02,29,36
1,1987-01-02,29,36
1,2011-01-02,29,36
1,2016-01-02,29,36
1,1984-01-02,33,35
1,1976-01-02,34,34
1,1981-01-02,34,34
1,1986-01-02,34,34
1,1970-01-02,37,33
1,1990-01-02,37,33
1,1999-01-02,37,33
1,2003-01-02,37,33
1,1961-01-02,41,31
1,1964-01-02,41,31
1,1971-01-02,41,31
1,1988-01-02,41,31
1,1993-01-02,41,31
1,2012-01-02,41,31
1,1980-01-02,47,30
1,1962-01-02,48,29
1,2002-01-02,48,29
1,2008-01-02,48,29
1,2014-01-02,51,27
1,2013-01-02,52,26
1,1974-01-02,53,24
1,2001-01-02,54,23
1,1963-01-02,55,21
1,2010-01-02,56,19
1,1968-01-02,57,16
1,1969-01-02,58,15
1,1977-01-02,59,14
1,2018-01-02,59,14
2,2004-01-03,0,60
2,2015-01-03,1,59
2,2000-01-03,2,58
2,1997-01-03,3,57
2,2005-01-03,3,57
2,1965-01-03,5,54
2,1966-01-03,6,53
2,2020-01-03,7,52
2,2007-01-03,8,51
2,2017-01-03,8,51
2,1992-01-03,10,50
2,1998-01-03,10,50
2,2006-01-03,12,49
2,1986-01-03,13,44
2,1976-01-03,14,43
2,1991-01-03,14,43
2,2021-01-03,16,42
2,1971-01-03,17,41
2,2019-01-03,17,41
2,1975-01-03,19,40
2,1982-01-03,19,40
2,1990-01-03,19,40
2,1999-01-03,22,39
2,2009-01-03,23,38
2,1964-01-03,24,37
2,1972-01-03,24,37
2,2011-01-03,24,37
2,1984-01-03,27,36
2,1967-01-03,28,35
