day,date,rank,temp
0,1897-01-01,0,47
0,1917-01-01,1,45
0,1913-01-01,2,40
0,1998-01-01,3,39
0,2007-01-01,4,38
0,1903-01-01,5,37
0,1949-01-01,5,37
0,1905-01-01,7,35
0,1941-01-01,7,35
0,1910-01-01,9,34
0,1936-01-01,9,34
0,1934-01-01,11,33
0,2006-01-01,12,32
0,2012-01-01,12,32
0,1894-01-01,14,31
0,1942-01-01,14,31
0,2004-01-01,14,31
0,2020-01-01,14,31
0,1900-01-01,18,30
0,1916-01-01,18,30
0,1902-01-01,20,28
0,2000-01-01,20,28
0,2011-01-01,20,28
0,2017-01-01,20,28
0,2015-01-01,24,26
0,1914-01-01,25,25
0,2005-01-01,25,25
0,2003-01-01,27,24
0,2009-01-01,27,24
0,1896-01-01,29,23
0,1915-01-01,29,23
0,2016-01-01,29,23
0,2021-01-01,29,23
0,1937-01-01,33,22
0,1912-01-01,34,21
0,1907-01-01,35,20
0,2002-01-01,35,20
0,1919-01-01,37,19
0,2008-01-01,37,19
0,1908-01-01,39,18
0,1923-01-01,40,17
0,2001-01-01,40,17
0,1918-01-01,42,16
0,1898-01-01,43,15
0,1906-01-01,43,15
0,1939-01-01,43,15
0,2013-01-01,46,14
0,1895-01-01,47,13
0,2019-01-01,47,13
0,1940-01-01,49,12
0,2010-01-01,50,11
0,1904-01-01,51,10
0,1901-01-01,52,8
0,1909-01-01,52,8
0,1999-01-01,54,7
0,1935-01-01,55,6
0,1899-01-01,56,5
0,2014-01-01,57,2
0,2018-01-01,58,1
0,2022-01-01,58,1
0,1924-01-01,60,-1
0,1947-01-01,61,-10
1,1897-01-02,0,47
1,1998-01-02,1,41
1,1917-01-02,2,40
1,1913-01-02,3,38
1,1936-01-02,3,38
1,2007-01-02,5,37
1,1908-01-02,6,35
1,1921-01-02,6,35
1,1948-01-02,6,35
1,2004-01-02,6,35
1,2006-01-02,6,35
1,1916-01-02,11,34
1,1903-01-02,12,33
1,1907-01-02,12,33
1,2003-01-02,12,33
1,2020-01-02,12,33
1,1905-01-02,16,32
1,2000-01-02,16,32
1,2017-01-02,16,32
1,1941-01-02,19,31
1,1898-01-02,20,30
1,1949-01-02,20,30
1,2016-01-02,20,30
1,1894-01-02,23,29
1,2021-01-02,23,29
1,1902-01-02,25,28
1,2005-01-02,25,28
1,1900-01-02,27,27
1,1906-01-02,28,26
1,1918-01-02,28,26
1,1943-01-02,28,26
1,1937-01-02,31,25
1,1909-01-02,32,24
