date,records
2011-04,1
2011-08,3
2011-10,1
2012-03,3
2012-04,2
2012-05,2
2012-06,8
2012-07,1
2012-08,1
2013-03,1
2013-06,2
2013-08,2
2013-09,1
2013-12,1
2014-10,2
2015-02,2
2015-03,2
2015-09,1
2015-10,1
2016-02,1
2016-07,1
2016-10,3
2016-11,1
2017-02,4
2017-03,1
2017-06,1
2017-09,2
2017-10,1
2017-11,2
2018-05,1
2018-06,1
2018-09,2
2019-08,1
2019-09,3
2019-11,1
2020-05,1
2020-06,2
2020-08,2
2020-09,2
2020-11,1
2021-04,1
2021-06,3
2021-07,1
2021-09,3
2021-11,1
2022-04,1
2022-05,1
