day,date,rank,temp
0,1997-01-01,0,63
0,2011-01-01,1,62
0,2007-01-01,2,61
0,1934-01-01,3,60
0,1948-01-01,4,58
0,2005-01-01,5,56
0,2003-01-01,6,54
0,1941-01-01,7,53
0,1950-01-01,7,53
0,1995-01-01,7,53
0,2000-01-01,7,53
0,1938-01-01,11,52
0,1942-01-01,11,52
0,1990-01-01,11,52
0,1932-01-01,14,51
0,1937-01-01,14,51
0,2004-01-01,14,51
0,2008-01-01,17,49
0,1989-01-01,18,48
0,1939-01-01,19,47
0,1986-01-01,19,47
0,1894-01-01,21,46
0,1896-01-01,22,45
0,1988-01-01,22,45
0,1982-01-01,24,44
0,2012-01-01,24,44
0,1983-01-01,26,43
0,1996-01-01,26,43
0,2006-01-01,28,42
0,1935-01-01,29,41
0,1936-01-01,29,41
0,1987-01-01,31,40
0,1943-01-01,32,39
0,2010-01-01,33,37
0,1946-01-01,34,35
0,1947-01-01,35,33
0,1944-01-01,36,32
0,1998-01-01,36,32
0,2009-01-01,38,31
0,1984-01-01,39,30
0,1991-01-01,40,29
0,2001-01-01,41,28
0,1999-01-01,42,27
0,1895-01-01,43,25
0,2002-01-01,44,23
0,1940-01-01,45,19
1,1985-01-02,0,70
1,1941-01-02,1,63
1,1943-01-02,2,60
1,1939-01-02,3,58
1,1997-01-02,4,57
1,2012-01-02,4,57
1,2000-01-02,6,56
1,2005-01-02,6,56
1,2011-01-02,6,56
1,1937-01-02,9,55
1,1950-01-02,9,55
1,1942-01-02,11,52
1,1947-01-02,11,52
1,2004-01-02,11,52
1,1894-01-02,14,51
1,1948-01-02,15,50
1,2006-01-02,16,49
1,1995-01-02,17,48
1,1996-01-02,18,47
1,2007-01-02,18,47
1,1933-01-02,20,46
1,1932-01-02,21,45
1,1983-01-02,21,45
1,1991-01-02,21,45
1,1936-01-02,24,44
1,1935-01-02,25,43
1,2003-01-02,25,43
1,1896-01-02,27,42
1,1934-01-02,27,42
1,1938-01-02,27,42
1,1986-01-02,27,42
1,1998-01-02,31,40
1,2009-01-02,31,40
1,1984-01-02,33,39
1,1989-01-02,33,39
1,1982-01-02,35,37
1,1987-01-02,35,37
1,1944-01-02,37,36
1,1949-01-02,38,35
1,1990-01-02,38,35
1,1988-01-02,40,34
1,2008-01-02,41,33
1,1946-01-02,42,31
1,1895-01-02,43,30
1,2001-01-02,44,28
1,2010-01-02,45,27
1,1999-01-02,46,26
1,2002-01-02,46,26
1,1940-01-02,48,18
1,1945-01-02,49,16
2,2000-01-03,0,70
2,1950-01-03,1,62
2,2004-01-03,2,59
2,1943-01-03,3,58
2,2005-01-03,3,58
2,1937-01-03,5,57
2,1939-01-03,6,56
2,1941-01-03,7,55
2,1947-01-03,7,55
2,1933-01-03,9,53
2,1998-01-03,9,53
2,2006-01-03,9,53
2,1986-01-03,12,52
2,1991-01-03,12,52
2,1894-01-03,14,50
2,1935-01-03,14,50
2,2009-01-03,16,47
2,2007-01-03,17,46
2,1982-01-03,18,45
2,1990-01-03,19,44
2,1936-01-03,20,43
2,1938-01-03,20,43
2,1983-01-03,20,43
2,1949-01-03,23,42
2,1932-01-03,24,40
2,1944-01-03,24,40
2,1999-01-03,24,40
2,1984-01-03,27,39
2,1989-01-03,27,39
2,1996-01-03,29,38
2,1946-01-03,30,37
2,1895-01-03,31,36
2,1934-01-03,31,36
2,1987-01-03,31,36
2,2003-01-03,31,36
2,1945-01-03,35,35
2,1948-01-03,35,35
2,1985-01-03,35,35
2,1988-01-03,38,34
2,1942-01-03,39,33
2,2011-01-03,40,32
2,2002-01-03,41,31
2,1896-01-03,42,30
2,2001-01-03,42,30
2,2012-01-03,42,30
2,1995-01-03,45,28
2,1940-01-03,46,22
2,2008-01-03,47,20
2,2010-01-03,47,20
3,2004-01-04,0,69
3,2000-01-04,1,67
3,1939-01-04,2,62
3,1950-01-04,3,61
3,1894-01-04,4,60
3,1982-01-04,4,60
3,1943-01-04,6,59
3,1998-01-04,7,58
3,2005-01-04,8,57
3,1933-01-04,9,53
3,2007-01-04,9,53
3,1946-01-04,11,49
3,2006-01-04,12,48
3,1991-01-04,13,47
3,2009-01-04,14,46
3,1990-01-04,15,45
3,1949-01-04,16,44
3,1934-01-04,17,43
3,1944-01-04,17,43
3,1984-01-04,17,43
3,1932-01-04,20,42
3,1938-01-04,20,42
3,1936-01-04,22,40
3,1937-01-04,22,40
3,1983-01-04,22,40
3,1999-01-04,22,40
3,1941-01-04,26,39
3,1935-01-04,27,38
3,2011-01-04,28,37
3,1945-01-04,29,36
3,1947-01-04,29,36
3,1948-01-04,29,36
3,1987-01-04,29,36
3,1989-01-04,29,36
3,1985-01-04,34,35
3,1988-01-04,35,34
3,1895-01-04,36,33
3,1942-01-04,37,32
3,2003-01-04,37,32
3,1995-01-04,39,31
3,2002-01-04,40,30
3,1940-01-04,41,28
3,2001-01-04,41,28
3,1996-01-04,43,24
3,2012-01-04,44,23
3,2008-01-04,45,20
3,2010-01-04,46,17
4,1939-01-05,0,67
4,1998-01-05,1,65
4,1946-01-05,2,64
4,1894-01-05,3,61
4,1982-01-05,4,60
4,1990-01-05,5,59
4,2007-01-05,5,59
4,1949-01-05,7,58
4,2000-01-05,8,57
4,2006-01-05,8,57
4,2009-01-05,8,57
4,1935-01-05,11,56
4,1934-01-05,12,55
4,1933-01-05,13,54
4,1932-01-05,14,51
4,1950-01-05,14,51
4,1937-01-05,16,50
4,1938-01-05,16,50
4,2005-01-05,16,50
4,1983-01-05,19,48
4,2004-01-05,20,47
4,1936-01-05,21,44
4,1986-01-05,21,44
4,1944-01-05,23,41
4,1984-01-05,23,41
4,2011-01-05,23,41
4,1895-01-05,26,39
4,1985-01-05,27,38
4,2008-01-05,27,38
4,1987-01-05,29,37
4,1991-01-05,30,35
4,1948-01-05,31,34
4,2002-01-05,31,34
4,1988-01-05,33,33
4,2012-01-05,33,33
4,1945-01-05,35,32
4,1947-01-05,35,32
4,1943-01-05,37,31
4,2001-01-05,37,31
4,1989-01-05,39,30
4,2003-01-05,39,30
4,1940-01-05,41,26
4,1942-01-05,41,26
4,1996-01-05,43,24
4,1941-01-05,44,23
4,2010-01-05,44,23
4,1995-01-05,46,22
4,1999-01-05,47,17
4,1896-01-05,48,14
5,1946-01-06,0,72
5,1998-01-06,1,65
5,1932-01-06,2,64
5,2007-01-06,3,63
5,1935-01-06,4,59
5,1939-01-06,5,57
5,1933-01-06,6,55
5,1895-01-06,7,53
5,1934-01-06,8,51
5,1937-01-06,9,50
5,1938-01-06,9,50
5,1894-01-06,11,48
5,1983-01-06,12,47
5,1989-01-06,13,46
5,2008-01-06,13,46
5,1949-01-06,15,45
5,1987-01-06,15,45
5,2012-01-06,15,45
5,1985-01-06,18,44
5,1982-01-06,19,43
5,1990-01-06,19,43
5,1950-01-06,21,42
5,1997-01-06,21,42
5,2005-01-06,21,42
5,1936-01-06,24,40
5,1944-01-06,24,40
5,1991-01-06,24,40
5,2002-01-06,24,40
5,2004-01-06,24,40
5,2001-01-06,29,38
5,2006-01-06,29,38
5,1948-01-06,31,36
5,2009-01-06,32,35
5,1945-01-06,33,34
5,1943-01-06,34,33
5,2011-01-06,34,33
5,2000-01-06,36,32
5,2003-01-06,36,32
5,1947-01-06,38,31
5,1986-01-06,38,31
5,1941-01-06,40,30
5,1896-01-06,41,28
5,1940-01-06,42,26
5,1996-01-06,42,26
5,1995-01-06,44,21
5,2010-01-06,44,21
5,1942-01-06,46,20
5,1999-01-06,47,19
5,1988-01-06,48,17
6,1937-01-07,0,68
6,1946-01-07,1,61
6,1998-01-07,2,60
6,2012-01-07,2,60
6,1933-01-07,4,59
6,1935-01-07,4,59
6,1939-01-07,4,59
6,1932-01-07,7,57
6,2008-01-07,7,57
6,1895-01-07,9,56
6,1949-01-07,9,56
6,2007-01-07,11,55
6,1934-01-07,12,54
6,1982-01-07,12,54
6,1936-01-07,14,49
6,1990-01-07,14,49
6,1894-01-07,16,48
6,1938-01-07,17,47
6,1983-01-07,17,47
6,1989-01-07,17,47
6,2005-01-07,17,47
6,1987-01-07,21,46
6,2000-01-07,21,46
6,2001-01-07,23,44
6,1985-01-07,24,43
6,1896-01-07,25,42
6,1984-01-07,25,42
6,1945-01-07,27,40
6,1950-01-07,28,39
6,1991-01-07,28,39
6,1997-01-07,28,39
6,2009-01-07,31,38
6,1986-01-07,32,37
6,1995-01-07,32,37
6,1943-01-07,34,36
6,1947-01-07,34,36
6,1941-01-07,36,35
6,1944-01-07,36,35
6,1948-01-07,38,34
6,2011-01-07,39,33
6,1999-01-07,40,32
6,2002-01-07,40,32
6,2003-01-07,40,32
6,2006-01-07,43,31
6,1940-01-07,44,26
6,2004-01-07,45,25
6,1996-01-07,46,24
6,2010-01-07,46,24
6,1942-01-07,48,18
6,1988-01-07,49,17
7,1937-01-08,0,70
7,2008-01-08,0,70
7,1935-01-08,2,68
7,1998-01-08,3,65
7,1989-01-08,4,64
7,1939-01-08,5,60
7,1934-01-08,6,53
7,1949-01-08,6,53
7,2012-01-08,8,52
7,1946-01-08,9,50
7,1948-01-08,9,50
7,1990-01-08,11,49
