day,date,rank,temp
0,1928-01-01,0,57
0,2019-01-01,1,55
0,2012-01-01,2,52
0,2022-01-01,3,51
0,2005-01-01,4,50
0,2011-01-01,5,49
0,1934-01-01,6,46
0,2000-01-01,6,46
0,1933-01-01,8,45
0,2004-01-01,9,41
0,2017-01-01,9,41
0,1930-01-01,11,40
0,1932-01-01,11,40
0,2016-01-01,13,39
0,2003-01-01,14,38
0,2013-01-01,14,38
0,2007-01-01,16,37
0,2020-01-01,16,37
0,1927-01-01,18,36
0,2010-01-01,18,36
0,2021-01-01,18,36
0,1931-01-01,21,35
0,1974-01-01,22,33
0,2015-01-01,22,33
0,1926-01-01,24,31
0,2006-01-01,24,31
0,2008-01-01,24,31
0,2014-01-01,27,30
0,2001-01-01,28,26
0,1999-01-01,29,23
0,2018-01-01,30,20
0,2009-01-01,31,17
1,1930-01-02,0,50
1,2000-01-02,0,50
1,2011-01-02,2,49
1,2012-01-02,3,47
1,2022-01-02,3,47
1,1934-01-02,5,46
1,2020-01-02,6,45
1,2007-01-02,7,44
1,2021-01-02,7,44
1,1933-01-02,9,41
1,2005-01-02,10,40
1,2015-01-02,11,39
1,1932-01-02,12,38
1,2016-01-02,12,38
1,1928-01-02,14,37
1,2006-01-02,14,37
1,1931-01-02,16,35
1,1926-01-02,17,34
1,2017-01-02,17,34
1,2019-01-02,17,34
1,2003-01-02,20,33
1,2004-01-02,20,33
1,2010-01-02,22,32
1,1927-01-02,23,30
1,2008-01-02,23,30
1,2009-01-02,23,30
1,2013-01-02,26,29
1,2001-01-02,27,25
1,2014-01-02,28,22
1,1999-01-02,29,15
2,2000-01-03,0,61
2,2005-01-03,1,54
2,2007-01-03,2,52
2,1930-01-03,3,51
2,1931-01-03,4,45
2,2020-01-03,5,44
2,2016-01-03,6,43
2,2019-01-03,6,43
2,1933-01-03,8,42
2,1932-01-03,9,38
2,2002-01-03,9,38
2,1926-01-03,11,37
2,2004-01-03,11,37
2,2017-01-03,11,37
2,2011-01-03,14,34
2,1927-01-03,15,33
2,1999-01-03,15,33
2,2001-01-03,15,33
2,2006-01-03,15,33
2,2009-01-03,19,32
2,2015-01-03,19,32
2,2021-01-03,19,32
2,2022-01-03,22,31
2,1974-01-03,23,30
2,2012-01-03,23,30
2,2003-01-03,25,27
2,2013-01-03,26,24
2,2018-01-03,26,24
2,1934-01-03,28,23
2,1928-01-03,29,22
2,2010-01-03,30,20
2,2008-01-03,31,14
2,2014-01-03,32,12
3,2000-01-04,0,57
3,1933-01-04,1,54
3,2007-01-04,2,52
3,2005-01-04,3,51
3,2004-01-04,4,47
3,2017-01-04,5,46
3,2019-01-04,5,46
3,1931-01-04,7,45
3,2015-01-04,8,42
3,2011-01-04,9,39
3,2020-01-04,9,39
3,2021-01-04,9,39
3,2013-01-04,12,38
3,1930-01-04,13,35
3,1999-01-04,13,35
3,2002-01-04,13,35
3,2022-01-04,13,35
3,1974-01-04,17,34
3,2009-01-04,17,34
3,2016-01-04,19,33
3,1927-01-04,20,32
3,2001-01-04,20,32
3,2003-01-04,20,32
3,2008-01-04,23,30
3,2010-01-04,23,30
3,2006-01-04,25,29
3,2018-01-04,26,27
3,1934-01-04,27,26
3,2012-01-04,27,26
3,2014-01-04,29,25
3,1928-01-04,30,23
4,2007-01-05,0,58
4,1933-01-05,1,50
4,2015-01-05,2,43
4,2021-01-05,3,41
4,1931-01-05,4,40
4,2013-01-05,4,40
4,2000-01-05,6,39
4,2002-01-05,6,39
4,2011-01-05,6,39
4,2020-01-05,6,39
4,2022-01-05,6,39
4,2009-01-05,11,38
4,2019-01-05,11,38
4,2005-01-05,13,37
4,2012-01-05,13,37
4,1927-01-05,15,36
4,2008-01-05,16,35
4,1926-01-05,17,34
4,2006-01-05,17,34
4,1934-01-05,19,33
4,2004-01-05,19,33
4,2001-01-05,21,32
4,2014-01-05,21,32
4,2017-01-05,21,32
4,1930-01-05,24,29
4,2003-01-05,24,29
4,1928-01-05,26,27
4,1974-01-05,26,27
4,2016-01-05,26,27
4,2010-01-05,29,26
4,1999-01-05,30,24
4,2018-01-05,31,19
5,2007-01-06,0,71
5,2012-01-06,1,69
5,2014-01-06,2,53
5,1930-01-06,3,45
5,1932-01-06,3,45
5,1933-01-06,5,44
5,2019-01-06,5,44
5,2008-01-06,7,43
5,2013-01-06,7,43
5,1927-01-06,9,40
5,1931-01-06,9,40
5,2002-01-06,9,40
5,2016-01-06,9,40
5,2020-01-06,13,39
5,2021-01-06,13,39
5,1926-01-06,15,38
5,1934-01-06,16,37
5,2001-01-06,16,37
5,2006-01-06,18,36
5,2022-01-06,18,36
5,2000-01-06,20,35
5,1928-01-06,21,33
5,2005-01-06,21,33
5,1974-01-06,23,32
5,2004-01-06,23,32
5,2009-01-06,23,32
5,2011-01-06,23,32
5,2010-01-06,27,28
5,2017-01-06,27,28
5,1999-01-06,29,25
5,2003-01-06,30,24
5,2015-01-06,31,17
5,2018-01-06,32,9
6,2012-01-07,0,60
6,1930-01-07,1,56
6,1932-01-07,2,50
6,2007-01-07,3,49
6,2008-01-07,3,49
6,1933-01-07,5,47
6,2000-01-07,6,44
6,1928-01-07,7,42
6,2020-01-07,8,41
6,2016-01-07,9,40
6,2021-01-07,9,40
6,2013-01-07,11,38
6,1934-01-07,12,37
6,2005-01-07,12,37
6,2017-01-07,12,37
6,1974-01-07,15,36
6,2010-01-07,15,36
6,2001-01-07,17,35
6,2002-01-07,17,35
6,2009-01-07,19,34
6,1931-01-07,20,32
6,2011-01-07,20,32
6,2022-01-07,20,32
6,2006-01-07,23,30
6,2019-01-07,23,30
6,1927-01-07,25,29
6,1999-01-07,26,28
6,2003-01-07,27,25
6,2014-01-07,27,25
6,2004-01-07,29,22
6,2015-01-07,29,22
6,2018-01-07,31,15
7,1930-01-08,0,59
7,2008-01-08,1,57
7,1928-01-08,2,55
7,1933-01-08,3,47
7,2007-01-08,4,46
7,2013-01-08,4,46
7,1932-01-08,6,45
7,1934-01-08,7,43
7,2012-01-08,7,43
7,2020-01-08,9,40
7,2021-01-08,9,40
7,2003-01-08,11,38
7,2016-01-08,11,38
7,2000-01-08,13,37
7,2006-01-08,13,37
7,2009-01-08,15,36
7,2001-01-08,16,34
7,2019-01-08,16,34
7,2005-01-08,18,32
7,2002-01-08,19,31
7,2018-01-08,19,31
7,2011-01-08,21,29
7,2022-01-08,21,29
7,2010-01-08,23,28
7,1974-01-08,24,23
7,1927-01-08,25,22
7,2017-01-08,25,22
7,2014-01-08,27,21
7,1999-01-08,28,20
7,2015-01-08,28,20
7,2004-01-08,30,18
8,2008-01-09,0,58
8,1930-01-09,1,55
8,1928-01-09,2,50
8,2000-01-09,3,48
8,2013-01-09,4,46
8,2016-01-09,5,45
8,1999-01-09,6,44
8,2006-01-09,7,43
8,2007-01-09,8,42
8,2012-01-09,8,42
8,2003-01-09,10,41
8,1934-01-09,11,40
8,2019-01-09,11,40
8,2018-01-09,13,38
8,2022-01-09,13,38
8,2021-01-09,15,37
8,1931-01-09,16,35
8,2002-01-09,16,35
8,1933-01-09,18,32
8,2005-01-09,18,32
8,2001-01-09,20,31
8,2011-01-09,20,31
8,2014-01-09,20,31
8,2020-01-09,20,31
8,2015-01-09,24,29
8,1927-01-09,25,26
8,2010-01-09,25,26
8,2009-01-09,27,25
8,1926-01-09,28,24
8,2017-01-09,29,20
8,2004-01-09,30,12
9,2016-01-10,0,57
9,2002-01-10,1,46
9,2013-01-10,1,46
9,2020-01-10,1,46
9,2000-01-10,4,45
9,2008-01-10,5,44
9,2012-01-10,5,44
9,1928-01-10,7,43
9,2006-01-10,7,43
9,1934-01-10,9,42
9,2021-01-10,9,42
9,1931-01-10,11,40
9,2005-01-10,11,40
9,1930-01-10,13,38
9,1933-01-10,13,38
9,2003-01-10,13,38
9,2022-01-10,16,37
9,2017-01-10,17,36
9,2018-01-10,17,36
9,1932-01-10,19,35
9,2007-01-10,20,33
9,2014-01-10,21,32
9,2019-01-10,21,32
9,2011-01-10,23,31
9,1999-01-10,24,25
9,2009-01-10,24,25
9,1926-01-10,26,24
9,2001-01-10,26,24
9,2010-01-10,26,24
9,1927-01-10,29,22
9,1974-01-10,29,22
9,2015-01-10,31,21
9,2004-01-10,32,11
10,2020-01-11,0,68
10,2014-01-11,1,56
10,2017-01-11,2,54
10,2000-01-11,3,52
10,1933-01-11,4,48
10,2018-01-11,4,48
10,2012-01-11,6,45
10,2016-01-11,7,41
10,1934-01-11,8,40
10,2002-01-11,8,40
10,1928-01-11,10,39
10,2001-01-11,10,39
10,2006-01-11,12,38
10,2005-01-11,13,37
10,2008-01-11,14,36
10,2013-01-11,15,35
10,1932-01-11,16,34
10,2007-01-11,16,34
10,2010-01-11,16,34
10,2021-01-11,19,31
10,1974-01-11,20,30
10,2015-01-11,20,30
10,2003-01-11,22,29
10,2009-01-11,22,29
10,1930-01-11,24,28
10,2011-01-11,24,28
10,2019-01-11,26,26
10,1927-01-11,27,22
10,1999-01-11,27,22
10,2004-01-11,27,22
10,2022-01-11,30,19
11,2020-01-12,0,70
11,2018-01-12,1,58
11,2017-01-12,2,55
11,2006-01-12,3,52
11,2007-01-12,4,50
11,2014-01-12,4,50
11,1933-01-12,6,48
11,1928-01-12,7,45
11,2008-01-12,8,43
11,1932-01-12,9,42
11,2002-01-12,9,42
11,2013-01-12,9,42
11,1999-01-12,12,41
11,2000-01-12,12,41
11,1934-01-12,14,40
11,2012-01-12,15,37
11,2021-01-12,15,37
11,2015-01-12,17,36
11,2022-01-12,17,36
11,1931-01-12,19,35
11,2016-01-12,19,35
11,2001-01-12,21,34
11,1930-01-12,22,33
11,2005-01-12,22,33
11,2010-01-12,22,33
11,2003-01-12,25,30
11,2004-01-12,25,30
11,2009-01-12,27,29
11,2011-01-12,27,29
11,2019-01-12,27,29
11,1926-01-12,30,28
11,1927-01-12,30,28
12,1932-01-13,0,58
12,2018-01-13,0,58
12,2017-01-13,2,53
12,2007-01-13,3,49
12,2014-01-13,4,48
12,2006-01-13,5,46
12,2013-01-13,6,44
12,2022-01-13,7,43
12,2012-01-13,8,42
12,1999-01-13,9,41
12,2008-01-13,9,41
12,1928-01-13,11,40
12,2002-01-13,12,39
12,1930-01-13,13,38
12,2005-01-13,13,38
12,2021-01-13,13,38
12,1934-01-13,16,37
12,2004-01-13,16,37
12,1931-01-13,18,35
12,2015-01-13,18,35
12,2001-01-13,20,34
12,2020-01-13,20,34
12,2003-01-13,22,33
12,2000-01-13,23,31
12,2009-01-13,23,31
12,1927-01-13,25,29
12,2010-01-13,25,29
12,1933-01-13,27,28
12,2019-01-13,28,27
12,2011-01-13,29,26
12,2016-01-13,29,26
12,1974-01-13,31,22
13,1932-01-14,0,67
13,2005-01-14,1,57
13,2006-01-14,2,53
13,2013-01-14,3,50
13,1928-01-14,4,46
13,2014-01-14,5,45
13,2020-01-14,6,41
13,1930-01-14,7,40
13,2022-01-14,8,39
13,2010-01-14,9,38
13,1927-01-14,10,37
13,1934-01-14,10,37
13,2001-01-14,10,37
13,2007-01-14,10,37
13,2002-01-14,14,36
13,2021-01-14,15,35
13,2008-01-14,16,34
13,2019-01-14,17,33
13,2016-01-14,18,32
13,2012-01-14,19,31
13,1931-01-14,20,30
13,1933-01-14,20,30
13,2009-01-14,20,30
13,1974-01-14,23,29
13,2017-01-14,23,29
13,2011-01-14,25,24
13,2018-01-14,26,23
13,2003-01-14,27,22
13,2015-01-14,28,17
13,1926-01-14,29,12
13,2000-01-14,30,11
13,1999-01-14,31,8
13,2004-01-14,32,6
14,1932-01-15,0,58
14,1928-01-15,1,50
14,2020-01-15,2,48
14,2010-01-15,3,47
14,2014-01-15,3,47
14,1927-01-15,5,42
14,1930-01-15,6,40
14,2013-01-15,7,39
14,2016-01-15,7,39
14,2021-01-15,7,39
14,1933-01-15,10,38
14,2017-01-15,10,38
14,1934-01-15,12,37
14,1974-01-15,12,37
14,2007-01-15,12,37
14,1999-01-15,15,36
14,2002-01-15,15,36
14,2008-01-15,15,36
14,2001-01-15,18,35
14,2019-01-15,18,35
14,2006-01-15,20,31
14,2011-01-15,20,31
14,1931-01-15,22,30
14,2015-01-15,23,28
14,2005-01-15,24,27
14,2003-01-15,25,25
14,1926-01-15,26,22
14,2018-01-15,27,21
14,2009-01-15,28,19
14,2012-01-15,29,18
14,2000-01-15,30,17
14,2022-01-15,31,13
14,2004-01-15,32,8
15,1932-01-16,0,58
15,1928-01-16,1,50
15,2010-01-16,2,46
15,1933-01-16,3,45
15,2020-01-16,4,44
15,2021-01-16,4,44
15,2017-01-16,6,43
15,1934-01-16,7,42
15,2001-01-16,8,41
15,2016-01-16,8,41
15,2007-01-16,10,40
15,2014-01-16,10,40
15,2000-01-16,12,39
15,1974-01-16,13,38
15,2015-01-16,13,38
15,2019-01-16,13,38
15,2002-01-16,16,37
15,1930-01-16,17,34
15,2011-01-16,18,33
15,2013-01-16,18,33
15,1999-01-16,20,32
15,2008-01-16,20,32
15,2018-01-16,22,31
15,2012-01-16,23,30
15,1931-01-16,24,28
15,2006-01-16,25,27
15,1926-01-16,26,25
15,2003-01-16,26,25
15,2005-01-16,26,25
15,2022-01-16,29,22
15,2009-01-16,30,16
15,2004-01-16,31,11
16,1933-01-17,0,50
16,1999-01-17,1,47
16,2014-01-17,2,43
16,2012-01-17,3,42
16,2022-01-17,3,42
16,2002-01-17,5,41
16,2021-01-17,5,41
16,1931-01-17,7,40
16,1932-01-17,7,40
16,2013-01-17,7,40
16,2001-01-17,10,39
16,1928-01-17,11,38
16,2010-01-17,11,38
16,2017-01-17,11,38
16,1934-01-17,14,36
16,2016-01-17,14,36
16,2006-01-17,16,34
16,2018-01-17,17,32
16,2004-01-17,18,30
16,2003-01-17,19,29
16,2019-01-17,19,29
16,1926-01-17,21,27
16,2008-01-17,21,27
16,2020-01-17,23,26
16,1930-01-17,24,25
16,2015-01-17,25,24
16,2005-01-17,26,23
16,2007-01-17,27,22
16,1927-01-17,28,20
16,2011-01-17,28,20
16,2009-01-17,30,15
16,2000-01-17,31,12
17,2006-01-18,0,57
17,1999-01-18,1,50
17,1933-01-18,2,48
17,2012-01-18,3,46
17,1932-01-18,4,45
17,2008-01-18,4,45
17,2021-01-18,4,45
17,2010-01-18,7,41
17,1928-01-18,8,40
17,1931-01-18,8,40
17,2015-01-18,10,39
17,2019-01-18,11,37
17,2017-01-18,12,36
17,1926-01-18,13,35
17,2002-01-18,13,35
17,2011-01-18,15,34
17,2014-01-18,15,34
17,2007-01-18,17,33
17,1930-01-18,18,32
17,1927-01-18,19,31
17,2004-01-18,19,31
17,2022-01-18,19,31
17,1974-01-18,22,30
17,2001-01-18,22,30
17,2016-01-18,24,28
17,2018-01-18,24,28
17,2013-01-18,26,27
17,2009-01-18,27,24
17,2020-01-18,28,21
17,1934-01-18,29,20
17,2003-01-18,30,16
17,2000-01-18,31,13
17,2005-01-18,32,10
18,1933-01-19,0,50
18,2017-01-19,1,46
18,1932-01-19,2,45
18,1926-01-19,3,44
18,1999-01-19,3,44
18,2013-01-19,5,43
18,2022-01-19,5,43
18,1928-01-19,7,42
18,2006-01-19,7,42
18,1927-01-19,9,40
18,2015-01-19,9,40
18,2020-01-19,9,40
18,2021-01-19,9,40
18,1974-01-19,13,39
18,2007-01-19,14,38
18,2011-01-19,15,37
18,2010-01-19,16,36
18,2018-01-19,16,36
18,2001-01-19,18,33
18,2008-01-19,18,33
18,2019-01-19,18,33
18,1931-01-19,21,32
18,1934-01-19,21,32
18,2009-01-19,21,32
18,2014-01-19,21,32
18,2012-01-19,25,29
18,2002-01-19,26,27
18,2004-01-19,27,26
18,2016-01-19,28,24
18,2000-01-19,29,23
18,1930-01-19,30,22
18,2003-01-19,31,21
18,2005-01-19,32,16
19,2006-01-20,0,56
19,2013-01-20,1,50
19,2018-01-20,2,47
19,1932-01-20,3,45
19,1927-01-20,4,44
19,1933-01-20,5,42
19,2014-01-20,6,41
19,1928-01-20,7,40
19,1999-01-20,7,40
19,2017-01-20,7,40
19,2010-01-20,10,39
19,2021-01-20,11,38
19,2022-01-20,11,38
19,2002-01-20,13,36
19,1931-01-20,14,35
19,2015-01-20,14,35
19,2001-01-20,16,33
19,1934-01-20,17,32
19,2016-01-20,17,32
19,2007-01-20,19,31
19,2009-01-20,20,29
19,2008-01-20,21,28
19,2011-01-20,21,28
19,2012-01-20,23,27
19,1930-01-20,24,26
19,2003-01-20,24,26
19,2020-01-20,24,26
19,2019-01-20,27,25
19,2005-01-20,28,24
19,2004-01-20,29,21
19,2000-01-20,30,18
