day,date,rank,temp
0,2018-01-01,0,54
0,2012-01-01,1,53
0,1964-01-01,2,52
0,1981-01-01,2,52
0,1994-01-01,4,48
0,1997-01-01,4,48
0,1987-01-01,6,46
0,2001-01-01,6,46
0,1980-01-01,8,45
0,1998-01-01,8,45
0,2014-01-01,8,45
0,2017-01-01,11,44
0,1968-01-01,12,43
0,2009-01-01,12,43
0,2020-01-01,12,43
0,2000-01-01,15,42
0,1993-01-01,16,41
0,1999-01-01,16,41
0,1990-01-01,18,40
0,1982-01-01,19,39
0,2002-01-01,19,39
0,1996-01-01,21,38
0,2006-01-01,21,38
0,1969-01-01,23,37
0,1983-01-01,23,37
0,2004-01-01,23,37
0,2021-01-01,23,37
0,1970-01-01,27,36
0,2003-01-01,27,36
0,1967-01-01,29,34
0,1991-01-01,29,34
0,2007-01-01,29,34
0,2010-01-01,32,32
0,1995-01-01,33,31
0,2005-01-01,34,30
0,1988-01-01,35,29
0,1989-01-01,36,27
0,2015-01-01,36,27
0,1966-01-01,38,24
0,2011-01-01,39,23
0,2008-01-01,40,19
0,2013-01-01,40,19
0,2022-01-01,40,19
0,2019-01-01,43,18
0,2016-01-01,44,14
1,2012-01-02,0,59
1,1981-01-02,1,53
1,1997-01-02,2,51
1,2018-01-02,3,48
1,1998-01-02,4,47
1,2009-01-02,4,47
1,2014-01-02,4,47
1,1994-01-02,7,46
1,2003-01-02,7,46
1,2001-01-02,9,44
1,2002-01-02,9,44
1,2006-01-02,9,44
1,1999-01-02,12,43
1,1964-01-02,13,42
1,1968-01-02,13,42
1,1969-01-02,13,42
1,1987-01-02,13,42
1,2021-01-02,17,41
1,1980-01-02,18,40
1,2020-01-02,19,39
1,1995-01-02,20,38
1,1996-01-02,20,38
1,2007-01-02,20,38
1,1983-01-02,23,37
1,1967-01-02,24,35
1,2015-01-02,24,35
1,1990-01-02,26,34
1,2004-01-02,26,34
1,1988-01-02,28,33
1,1993-01-02,28,33
1,1984-01-02,30,32
1,2000-01-02,30,32
1,2005-01-02,30,32
1,2017-01-02,30,32
1,2011-01-02,34,30
1,1991-01-02,35,29
1,2008-01-02,35,29
1,2022-01-02,35,29
1,1989-01-02,38,28
1,2010-01-02,38,28
1,1982-01-02,40,27
1,2019-01-02,40,27
1,1970-01-02,42,26
1,1966-01-02,43,24
1,2013-01-02,44,23
1,2016-01-02,45,17
2,2012-01-03,0,60
2,1994-01-03,1,55
2,2003-01-03,2,53
2,1981-01-03,3,52
2,2018-01-03,3,52
2,1987-01-03,5,51
2,2007-01-03,5,51
2,1996-01-03,7,50
2,2001-01-03,7,50
2,2014-01-03,7,50
2,2021-01-03,10,48
2,1969-01-03,11,47
2,1983-01-03,12,45
2,2020-01-03,13,44
2,1998-01-03,14,42
2,2006-01-03,14,42
2,1980-01-03,16,41
2,1985-01-03,16,41
2,2015-01-03,16,41
2,2016-01-03,16,41
2,1999-01-03,20,40
2,2002-01-03,20,40
2,2008-01-03,20,40
2,1997-01-03,23,39
2,1964-01-03,24,37
2,1995-01-03,24,37
2,2017-01-03,24,37
2,2019-01-03,24,37
2,1984-01-03,28,35
2,1966-01-03,29,34
2,2000-01-03,29,34
2,1988-01-03,31,32
2,1989-01-03,31,32
2,2005-01-03,31,32
2,2022-01-03,31,32
2,1967-01-03,35,31
2,1968-01-03,36,30
2,2011-01-03,37,29
2,1970-01-03,38,27
2,1991-01-03,39,26
2,2010-01-03,39,26
2,1982-01-03,41,25
2,2009-01-03,41,25
2,2004-01-03,43,23
2,1990-01-03,44,22
2,2013-01-03,44,22
3,2012-01-04,0,62
3,2018-01-04,1,58
3,2001-01-04,2,53
3,1994-01-04,3,52
3,2020-01-04,4,50
3,1996-01-04,5,49
3,2003-01-04,6,48
3,1981-01-04,7,47
3,1999-01-04,7,47
3,2015-01-04,7,47
3,2021-01-04,7,47
3,1969-01-04,11,46
3,2006-01-04,11,46
3,2007-01-04,11,46
3,2022-01-04,14,45
3,1987-01-04,15,44
3,2000-01-04,16,42
3,1983-01-04,17,40
3,1984-01-04,17,40
3,1998-01-04,17,40
3,2008-01-04,17,40
3,1980-01-04,21,39
3,2016-01-04,21,39
3,2017-01-04,21,39
3,1995-01-04,24,38
3,2019-01-04,24,38
3,1964-01-04,26,37
3,1985-01-04,26,37
3,1988-01-04,26,37
3,1967-01-04,29,36
3,1968-01-04,29,36
3,1970-01-04,29,36
3,1966-01-04,32,35
3,2014-01-04,32,35
3,1991-01-04,34,34
3,1997-01-04,35,33
3,2002-01-04,36,32
3,1989-01-04,37,31
3,2011-01-04,38,30
3,1990-01-04,39,29
3,1982-01-04,40,28
3,2010-01-04,40,28
3,2005-01-04,42,27
3,1993-01-04,43,26
3,2013-01-04,44,25
3,2004-01-04,45,20
3,2009-01-04,46,13
4,2012-01-05,0,63
4,2001-01-05,1,55
4,2018-01-05,2,54
4,1999-01-05,3,51
4,1969-01-05,4,49
4,1983-01-05,5,48
4,2022-01-05,6,47
4,2003-01-05,7,46
4,2015-01-05,7,46
4,1996-01-05,9,45
4,2006-01-05,9,45
4,1966-01-05,11,44
4,1967-01-05,11,44
4,1980-01-05,13,43
4,1981-01-05,14,42
4,1994-01-05,14,42
4,2020-01-05,16,41
4,2019-01-05,17,39
4,2021-01-05,17,39
4,2002-01-05,19,38
4,2016-01-05,19,38
4,1985-01-05,21,37
4,1988-01-05,22,36
4,2008-01-05,22,36
4,2014-01-05,22,36
4,1989-01-05,25,35
4,1990-01-05,25,35
4,1995-01-05,27,34
4,2009-01-05,27,34
4,2011-01-05,27,34
4,1982-01-05,30,33
4,2000-01-05,30,33
4,1964-01-05,32,32
4,1968-01-05,32,32
4,1987-01-05,34,31
4,2005-01-05,35,30
4,2010-01-05,35,30
4,1991-01-05,37,28
4,1997-01-05,37,28
4,1998-01-05,37,28
4,2013-01-05,37,28
4,1970-01-05,41,26
4,2017-01-05,42,25
4,1993-01-05,43,23
4,2007-01-05,44,21
4,2004-01-05,45,18
5,2012-01-06,0,56
5,1999-01-06,1,54
5,2006-01-06,2,52
5,2015-01-06,3,51
5,1966-01-06,4,50
5,1980-01-06,4,50
5,1996-01-06,4,50
5,2001-01-06,4,50
5,2022-01-06,8,49
5,1969-01-06,9,48
5,1981-01-06,10,46
5,1983-01-06,10,46
5,2002-01-06,12,44
5,2018-01-06,12,44
5,2020-01-06,12,44
5,2009-01-06,15,43
5,1995-01-06,16,41
5,2003-01-06,16,41
5,1968-01-06,18,40
5,1990-01-06,18,40
5,2000-01-06,18,40
5,2014-01-06,21,39
5,2019-01-06,21,39
5,2021-01-06,21,39
5,2013-01-06,24,38
5,2016-01-06,24,38
5,2010-01-06,26,37
5,1985-01-06,27,36
5,2007-01-06,27,36
5,2011-01-06,27,36
5,1964-01-06,30,35
5,1967-01-06,30,35
5,1988-01-06,30,35
5,1989-01-06,33,32
5,2008-01-06,33,32
5,1994-01-06,35,31
5,1998-01-06,35,31
5,1987-01-06,37,30
5,1991-01-06,38,28
5,1993-01-06,38,28
5,1997-01-06,38,28
5,2005-01-06,38,28
5,1982-01-06,42,27
5,1970-01-06,43,23
5,2004-01-06,44,22
5,2017-01-06,45,8
6,1996-01-07,0,58
6,2001-01-07,1,53
6,2015-01-07,1,53
6,1969-01-07,3,52
6,1983-01-07,4,51
6,1999-01-07,4,51
6,2014-01-07,4,51
6,2009-01-07,7,49
