day,date,rank,temp
0,2009-01-01,0,65
0,2019-01-01,0,65
0,2021-01-01,2,64
0,2007-01-01,3,63
0,2012-01-01,4,60
0,2016-01-01,4,60
0,2004-01-01,6,59
0,2022-01-01,7,57
0,2003-01-01,8,56
0,2005-01-01,8,56
0,2008-01-01,10,54
0,2006-01-01,11,50
0,2013-01-01,12,48
0,2020-01-01,12,48
0,2011-01-01,14,47
0,2015-01-01,14,47
0,2014-01-01,16,43
0,2017-01-01,17,41
0,2001-01-01,18,31
0,2018-01-01,19,30
1,2022-01-02,0,72
1,2005-01-02,1,67
1,2006-01-02,2,64
1,2007-01-02,3,59
1,2012-01-02,4,57
1,2004-01-02,5,56
1,2019-01-02,5,56
1,2021-01-02,5,56
1,2003-01-02,8,55
1,2011-01-02,9,53
1,2009-01-02,10,51
1,2020-01-02,11,50
1,2014-01-02,12,48
1,2017-01-02,12,48
1,2015-01-02,14,44
1,2013-01-02,15,43
1,2016-01-02,15,43
1,2002-01-02,17,40
1,2008-01-02,17,40
1,2001-01-02,19,28
1,2018-01-02,20,25
2,2000-01-03,0,70
2,2005-01-03,1,67
2,2004-01-03,2,66
2,2021-01-03,2,66
2,2006-01-03,4,62
2,2017-01-03,4,62
2,2003-01-03,6,61
2,2007-01-03,7,58
2,2022-01-03,8,57
2,2011-01-03,9,49
2,2020-01-03,10,48
2,2015-01-03,11,47
2,2016-01-03,11,47
2,2019-01-03,13,46
2,2013-01-03,14,42
2,2014-01-03,14,42
2,2012-01-03,16,38
2,2001-01-03,17,36
2,2009-01-03,18,35
2,2018-01-03,19,33
2,2008-01-03,20,24
3,2004-01-04,0,67
3,2005-01-04,1,61
3,2017-01-04,1,61
3,2015-01-04,3,56
3,2020-01-04,4,55
3,2009-01-04,5,54
3,2019-01-04,6,52
3,2006-01-04,7,49
3,2016-01-04,7,49
3,2011-01-04,9,48
3,2021-01-04,10,46
3,2013-01-04,11,42
3,2022-01-04,12,39
3,2001-01-04,13,37
3,2008-01-04,13,37
3,2003-01-04,15,35
3,2018-01-04,16,33
3,2002-01-04,17,31
3,2012-01-04,18,29
3,2014-01-04,19,28
4,2004-01-05,0,68
4,2009-01-05,1,67
4,2005-01-05,2,66
4,2015-01-05,3,64
4,2019-01-05,4,60
4,2006-01-05,5,55
4,2021-01-05,6,52
4,2011-01-05,7,50
4,2017-01-05,7,50
4,2020-01-05,7,50
4,2022-01-05,10,48
4,2003-01-05,11,47
4,2008-01-05,11,47
4,2012-01-05,11,47
4,2014-01-05,11,47
4,2013-01-05,15,46
4,2001-01-05,16,45
4,2002-01-05,17,43
4,2016-01-05,18,37
4,2018-01-05,19,25
5,2005-01-06,0,67
5,2007-01-06,1,65
5,2009-01-06,2,64
5,2004-01-06,3,58
5,2012-01-06,3,58
5,2006-01-06,5,56
5,2019-01-06,6,55
5,2008-01-06,7,54
5,2022-01-06,8,53
5,2014-01-06,9,52
5,2013-01-06,10,50
5,2001-01-06,11,49
5,2021-01-06,12,48
5,2002-01-06,13,46
5,2020-01-06,13,46
5,2015-01-06,15,45
5,2016-01-06,16,44
5,2017-01-06,17,42
5,2011-01-06,18,37
5,2018-01-06,19,27
6,2012-01-07,0,64
6,2005-01-07,1,63
6,2019-01-07,2,61
6,2000-01-07,3,58
6,2009-01-07,4,56
6,2020-01-07,4,56
6,2007-01-07,6,55
6,2008-01-07,6,55
6,2001-01-07,8,51
6,2013-01-07,9,50
6,2016-01-07,9,50
6,2015-01-07,11,47
6,2021-01-07,11,47
6,2011-01-07,13,43
6,2003-01-07,14,38
6,2006-01-07,14,38
6,2022-01-07,14,38
6,2002-01-07,17,36
6,2004-01-07,18,35
6,2017-01-07,19,33
6,2018-01-07,20,32
6,2014-01-07,21,22
7,2008-01-08,0,67
7,2019-01-08,1,64
7,2016-01-08,2,58
7,2013-01-08,3,57
7,2000-01-08,4,56
7,2007-01-08,5,55
7,2009-01-08,6,53
7,2012-01-08,7,52
7,2005-01-08,8,50
7,2020-01-08,9,49
7,2001-01-08,10,47
7,2003-01-08,10,47
7,2006-01-08,12,45
7,2021-01-08,12,45
7,2018-01-08,14,38
7,2002-01-08,15,36
7,2004-01-08,16,35
7,2011-01-08,17,34
7,2015-01-08,18,33
7,2022-01-08,19,29
7,2017-01-08,20,27
7,2014-01-08,21,24
8,2003-01-09,0,64
8,2005-01-09,0,64
8,2006-01-09,2,63
8,2008-01-09,2,63
8,2019-01-09,4,60
8,2013-01-09,5,57
8,2020-01-09,6,55
8,2012-01-09,7,51
8,2016-01-09,8,50
8,2022-01-09,9,49
8,2001-01-09,10,47
8,2007-01-09,10,47
8,2009-01-09,12,46
8,2014-01-09,13,44
8,2002-01-09,14,40
8,2021-01-09,15,37
8,2018-01-09,16,36
8,2015-01-09,17,34
8,2017-01-09,18,30
8,2011-01-09,19,29
9,2008-01-10,0,67
9,2005-01-10,1,64
9,2002-01-10,2,60
9,2006-01-10,2,60
9,2020-01-10,4,58
9,2012-01-10,5,56
9,2009-01-10,6,55
9,2013-01-10,7,53
9,2014-01-10,7,53
9,2016-01-10,9,52
9,2018-01-10,10,48
9,2001-01-10,11,46
9,2019-01-10,11,46
9,2022-01-10,11,46
9,2021-01-10,14,39
9,2017-01-10,15,38
9,2015-01-10,16,37
9,2004-01-10,17,35
9,2011-01-10,18,33
10,2013-01-11,0,69
10,2020-01-11,1,63
10,2005-01-11,2,62
10,2008-01-11,2,62
10,2002-01-11,4,58
